feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Parvimonas	sample_type	healthy volunteer	-3.29865008904762	0.559281652873988	89	26	6.87195988972797e-08	9.64928949120206e-06
Peptostreptococcus	sample_type	healthy volunteer	-3.07051216987834	0.530469764010417	89	26	1.10277594185166e-07	9.64928949120206e-06
Lachnospiraceae_UCG.010	sample_type	healthy volunteer	-2.98989654894171	0.538735502980826	89	64	3.04455823793246e-07	1.7759923054606e-05
Fusobacterium	sample_type	healthy volunteer	-3.33878080438856	0.613619986235609	89	33	4.80872447953951e-07	2.10381695979854e-05
Bilophila	sample_type	healthy volunteer	-2.45515040266285	0.525445887889538	89	54	1.07697120575766e-05	0.000246649511829033
Solobacterium	sample_type	healthy volunteer	-2.89768710299077	0.612552806889742	89	48	8.58798576106504e-06	0.000246649511829033
Colidextribacter	sample_type	healthy volunteer	-1.78077665718443	0.376039836997051	89	75	8.41826458102765e-06	0.000246649511829033
Butyricimonas	sample_type	healthy volunteer	-2.44516288212123	0.524633608367113	89	40	1.12754062550415e-05	0.000246649511829033
Family_XIII_AD3011_group	sample_type	healthy volunteer	-2.67421095686906	0.600370603438401	89	66	2.49066470253655e-05	0.000484295914382107
Methanobrevibacter	sample_type	healthy volunteer	-3.11884171045342	0.723119250241803	89	34	4.23481845390193e-05	0.000741093229432839
Desulfovibrio	sample_type	healthy volunteer	-2.27681384749879	0.532969258399599	89	31	4.93324505315717e-05	0.000745448753276766
Holdemania	sample_type	healthy volunteer	-1.3959772176735	0.327513796058593	89	25	5.11164859389783e-05	0.000745448753276766
Hungatella	sample_type	healthy volunteer	-1.29587857449752	0.316707384843826	89	19	9.54008884180345e-05	0.00128424272870431
Gemella	sample_type	healthy volunteer	-2.0911437107701	0.518778990764014	89	39	0.000118740003226475	0.00148425004033094
Oscillibacter	sample_type	healthy volunteer	-2.55227462403388	0.639926138138749	89	51	0.000138202112152139	0.00161235797510828
Victivallis	sample_type	healthy volunteer	-2.20220052600677	0.561782278883296	89	43	0.000176059368852616	0.00190096578498368
Flavonifractor	sample_type	healthy volunteer	-2.58279276266323	0.661158610775569	89	59	0.000184665247684129	0.00190096578498368
Odoribacter	sample_type	healthy volunteer	-1.82542545228382	0.499941257932809	89	52	0.000444831870559264	0.00432475429710395
Limosilactobacillus	sample_type	healthy volunteer	-2.37962091069176	0.658746471330111	89	29	0.000507037545148239	0.00443657852004709
Ruthenibacterium	sample_type	healthy volunteer	-1.7436629615129	0.481909460024121	89	32	0.000497123166180743	0.00443657852004709
Oxalobacter	sample_type	healthy volunteer	-0.953034494842599	0.276974840985559	89	23	0.000892917247692191	0.00744097706410159
Akkermansia	sample_type	healthy volunteer	-3.03108316205912	0.888132613947912	89	35	0.000977722853988023	0.00749159013782835
Lachnospiraceae_NK4A136_group	sample_type	healthy volunteer	-1.60124869828505	0.469477965230865	89	84	0.000984608989543154	0.00749159013782835
Christensenellaceae_R.7_group	sample_type	healthy volunteer	-2.45965387487222	0.746254331902314	89	76	0.00142055773975039	0.00956144632524299
Blautia	sample_type	healthy volunteer	-0.781647585930798	0.235430202261757	89	89	0.0013162126924035	0.00956144632524299
Porphyromonas	sample_type	healthy volunteer	-2.03954446423808	0.617816508931753	89	15	0.00139732707773588	0.00956144632524299
Collinsella	sample_type	healthy volunteer	-1.10829100880152	0.341536234289899	89	84	0.00166756485030754	0.0108082906964378
Megasphaera	sample_type	healthy volunteer	2.42435316144492	0.753670889916618	89	67	0.00182143170822338	0.0113839481763961
Intestinibacter	sample_type	healthy volunteer	-1.60626236557605	0.501570395676097	89	59	0.0019039269025788	0.0114892140672858
Escherichia.Shigella	sample_type	healthy volunteer	-2.03393826457069	0.640950981203939	89	78	0.00208355418304696	0.0116089817038807
Comamonas	sample_type	healthy volunteer	-1.76779829613808	0.559361328906034	89	28	0.00216815561509708	0.0116089817038807
